GID_4,GID_0,COUNTRY,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3,NAME_4,VARNAME_4,TYPE_4,ENGTYPE_4,CC_4,VALUE
IDN.9.14.26.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.26_1,Regol,Balong Gede,NA,Kelurahan,Urban Community,3273060007,456
IDN.9.14.26.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.26_1,Regol,Ciateul,NA,Kelurahan,Urban Community,3273060005,844
IDN.9.14.26.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.26_1,Regol,Cigereleng,NA,Kelurahan,Urban Community,3273060004,700
IDN.9.14.26.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.26_1,Regol,Ciseureuh,NA,Kelurahan,Urban Community,3273060001,972
IDN.9.14.26.6_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.26_1,Regol,Pasirluyu,NA,Kelurahan,Urban Community,3273060002,893
IDN.9.14.26.7_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.26_1,Regol,Pungkur,NA,Kelurahan,Urban Community,3273060006,933
IDN.9.14.27.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.27_1,Sukajadi,Cipedes,NA,Kelurahan,Urban Community,3273240004,673
IDN.9.14.27.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.27_1,Sukajadi,Pasteur,NA,Kelurahan,Urban Community,3273240005,818
IDN.9.14.27.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.27_1,Sukajadi,Sukabungah,NA,Kelurahan,Urban Community,3273240003,623
IDN.9.14.27.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.27_1,Sukajadi,Sukagalih,NA,Kelurahan,Urban Community,3273240002,123
IDN.9.14.27.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.27_1,Sukajadi,Sukawarna,NA,Kelurahan,Urban Community,3273240001,770
IDN.9.14.28.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.28_1,Sukasari,Gegerkalong,NA,Kelurahan,Urban Community,3273250003,952
IDN.9.14.28.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.28_1,Sukasari,Isola,NA,Kelurahan,Urban Community,3273250004,392
IDN.9.14.28.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.28_1,Sukasari,Sarijadi,NA,Kelurahan,Urban Community,3273250001,292
IDN.9.14.28.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.28_1,Sukasari,Sukarasa,NA,Kelurahan,Urban Community,3273250002,279
IDN.9.14.29.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.29_1,Sumur Bandung,Babakan Ciamis,NA,Kelurahan,Urban Community,3273170004,452
IDN.9.14.29.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.29_1,Sumur Bandung,Braga,NA,Kelurahan,Urban Community,3273170001,793
IDN.9.14.29.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.29_1,Sumur Bandung,Kebon Pisang,NA,Kelurahan,Urban Community,3273170002,330
IDN.9.14.29.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.29_1,Sumur Bandung,Merdeka,NA,Kelurahan,Urban Community,3273170003,388
IDN.9.14.30.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.30_1,Ujung Berung,Cigending,NA,Kelurahan,Urban Community,3273120006,573
IDN.9.14.30.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.30_1,Ujung Berung,Pasanggrahan,NA,Kelurahan,Urban Community,3273120003,613
IDN.9.14.30.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.30_1,Ujung Berung,Pasir Endah,NA,Kelurahan,Urban Community,3273120007,458
IDN.9.14.30.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.30_1,Ujung Berung,Pasir Wangi,NA,Kelurahan,Urban Community,3273120005,852
IDN.9.14.30.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.30_1,Ujung Berung,Pasirjati,NA,Kelurahan,Urban Community,3273120004,256
